Date,Close_fund,Close_rfr
2017-04-13,490.53,1.73
2017-04-18,487.6,1.73
2017-04-19,489.8,1.73
2017-04-20,491.5,1.73
2017-04-21,492.75,1.73
2017-04-24,503.5,1.73
2017-04-25,504.5,1.73
2017-04-26,502.46,1.73
2017-04-27,504.02,1.73
2017-04-28,502.0,1.73
2017-05-02,502.0,1.73
2017-05-04,509.4,1.73
2017-05-05,509.2,1.73
2017-05-08,510.61,1.73
2017-05-09,516.0,1.73
2017-05-10,515.59,1.73
2017-05-11,512.43,1.73
2017-05-12,513.95,1.73
2017-05-15,513.7,1.73
2017-05-16,512.5,1.73
2017-05-17,506.2,1.73
2017-05-18,507.74,1.73
2017-05-19,505.67,1.73
2017-05-22,506.69,1.73
2017-05-23,504.82,1.73
2017-05-25,503.88,1.73
2017-05-26,501.0,1.73
2017-05-29,503.48,1.73
2017-05-30,503.0,1.73
2017-05-31,507.29,1.73
2017-06-01,507.35,1.73
2017-06-02,513.69,1.73
2017-06-05,510.2,1.73
2017-06-06,509.0,1.73
2017-06-07,509.31,1.73
2017-06-08,509.0,1.73
2017-06-09,512.0,1.73
2017-06-12,506.41,1.73
2017-06-13,511.4,1.73
2017-06-14,514.67,1.73
2017-06-16,513.51,1.73
2017-06-19,517.5,1.73
2017-06-20,520.49,1.73
2017-06-21,516.77,1.73
2017-06-22,516.77,1.73
2017-06-23,512.2,1.73
2017-06-26,517.31,1.73
2017-06-27,509.82,1.73
2017-06-28,511.96,1.73
2017-06-29,505.38,1.73
2017-06-30,499.06,1.73
2017-07-03,504.99,1.73
2017-07-04,505.95,1.73
2017-07-05,505.87,1.73
2017-07-06,503.0,1.73
2017-07-07,500.1,1.73
2017-07-10,504.62,1.73
2017-07-11,506.54,1.73
2017-07-12,508.3,1.73
2017-07-13,510.0,1.73
2017-07-14,507.46,1.73
2017-07-17,506.55,1.73
2017-07-18,499.51,1.73
2017-07-19,500.5,1.73
2017-07-20,500.0,1.73
2017-07-21,495.95,1.73
2017-07-24,496.69,1.73
2017-07-25,500.0,1.73
2017-07-26,501.5,1.73
2017-07-27,497.17,1.73
2017-07-28,496.0,1.73
2017-07-31,494.89,1.73
2017-08-01,500.19,1.73
2017-08-02,496.5,1.73
2017-08-03,494.83,1.73
2017-08-04,496.91,1.73
2017-08-07,497.93,1.73
2017-08-08,498.71,1.73
2017-08-09,495.5,1.73
2017-08-10,491.0,1.73
2017-08-11,491.0,1.73
2017-08-14,498.39,1.73
2017-08-16,499.25,1.73
2017-08-17,497.55,1.73
2017-08-18,498.41,1.73
2017-08-21,491.51,1.73
2017-08-22,498.17,1.73
2017-08-23,498.57,1.73
2017-08-24,498.41,1.73
2017-08-25,497.5,1.73
2017-08-28,493.17,1.73
2017-08-29,487.66,1.73
2017-08-30,489.76,1.73
2017-08-31,490.15,1.73
2017-09-01,492.5,1.73
2017-09-04,492.0,1.73
2017-09-05,492.0,1.73
2017-09-06,495.0,1.73
2017-09-07,499.97,1.73
2017-09-08,500.58,1.73
2017-09-11,505.0,1.73
2017-09-12,510.97,1.73
2017-09-13,512.0,1.73
2017-09-14,513.0,1.73
2017-09-15,510.0,1.73
2017-09-18,515.53,1.73
2017-09-19,514.21,1.73
2017-09-20,513.0,1.73
2017-09-21,515.0,1.73
2017-09-22,513.92,1.73
2017-09-25,515.45,1.73
2017-09-26,516.5,1.73
2017-09-27,523.0,1.73
2017-09-28,523.0,1.73
2017-09-29,523.78,1.73
2017-10-02,530.0,1.73
2017-10-03,530.0,1.73
2017-10-04,532.5,1.73
2017-10-05,529.14,1.73
2017-10-06,531.88,1.73
2017-10-09,533.7,1.73
2017-10-10,530.86,1.73
2017-10-11,530.44,1.73
2017-10-12,530.34,1.73
2017-10-13,529.0,1.73
2017-10-16,524.7,1.73
2017-10-17,524.7,1.73
2017-10-18,528.93,1.73
2017-10-19,524.15,1.73
2017-10-20,526.0,1.73
2017-10-23,525.84,1.73
2017-10-24,526.04,1.73
2017-10-25,526.0,1.73
2017-10-26,532.53,1.73
2017-10-27,537.0,1.73
2017-10-30,536.89,1.73
2017-10-31,540.0,1.73
2017-11-02,545.0,1.73
2017-11-03,547.35,1.73
2017-11-06,546.62,1.73
2017-11-07,544.62,1.73
2017-11-08,542.5,1.73
2017-11-09,535.54,1.73
2017-11-10,531.0,1.73
2017-11-13,526.28,1.73
2017-11-14,528.04,1.73
2017-11-15,522.55,1.73
2017-11-16,527.0,1.73
2017-11-17,527.55,1.73
2017-11-20,529.6,1.73
2017-11-21,532.0,1.73
2017-11-22,526.38,1.73
2017-11-23,521.5,1.73
2017-11-24,522.69,1.73
2017-11-27,523.84,1.73
2017-11-28,523.0,1.73
2017-11-29,528.0,1.73
2017-11-30,525.35,1.73
2017-12-01,523.6,1.73
2017-12-04,524.62,1.73
2017-12-05,523.94,1.73
2017-12-06,523.85,1.73
2017-12-07,521.85,1.72
2017-12-08,528.9,1.72
2017-12-11,526.0,1.72
2017-12-12,529.58,1.72
2017-12-13,529.0,1.72
2017-12-14,530.26,1.72
2017-12-15,526.0,1.72
